number,Type,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
24,Red,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
25,Red,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
26,Red,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
27,Red,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
28,Red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
29,Red,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
30,Red,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6
31,Red,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5
32,Red,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
33,Red,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
34,Red,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
35,Red,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
36,Red,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
37,Red,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
38,Red,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
39,Red,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
40,Red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
41,Red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
42,Red,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
43,Red,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
44,Red,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
45,Red,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
46,Red,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
47,Red,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5
48,Red,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
49,Red,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5
50,Red,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
51,Red,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
52,Red,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
53,Red,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
54,Red,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
55,Red,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
56,Red,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
57,Red,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
58,Red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
59,Red,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
60,Red,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
61,Red,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
62,Red,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
63,Red,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
64,Red,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
65,Red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
66,Red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
67,Red,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
68,Red,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
69,Red,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
70,Red,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
71,Red,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
72,Red,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
73,Red,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
74,Red,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
75,Red,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
76,Red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
77,Red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
78,Red,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
79,Red,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
80,Red,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
81,Red,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
82,Red,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
83,Red,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
84,Red,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
85,Red,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
86,Red,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
87,Red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
88,Red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
89,Red,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
90,Red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
91,Red,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
92,Red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
93,Red,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
94,Red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
95,Red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
96,Red,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
97,Red,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
98,Red,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
99,Red,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
100,Red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
101,Red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
102,Red,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6
103,Red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
104,Red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
105,Red,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
106,Red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
107,Red,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
108,Red,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
109,Red,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
110,Red,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
111,Red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
112,Red,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
113,Red,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
114,Red,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
115,Red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
116,Red,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
117,Red,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
118,Red,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
119,Red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
120,Red,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
121,Red,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
122,Red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
123,Red,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
124,Red,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
125,Red,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
126,Red,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
127,Red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
128,Red,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
129,Red,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
130,Red,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
131,Red,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
132,Red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
133,Red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
134,Red,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
135,Red,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6
136,Red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
137,Red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
138,Red,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
139,Red,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
140,Red,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5
141,Red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
142,Red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
143,Red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
144,Red,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
145,Red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
146,Red,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5
147,Red,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5
148,Red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
149,Red,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
150,Red,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
151,Red,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
152,Red,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
153,Red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
154,Red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
155,Red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
156,Red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
157,Red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
158,Red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
159,Red,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
160,Red,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
161,Red,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5
162,Red,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
163,Red,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
164,Red,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5
165,Red,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
166,Red,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
167,Red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
168,Red,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
169,Red,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6
170,Red,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
171,Red,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
172,Red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
173,Red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
174,Red,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
175,Red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
176,Red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
177,Red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
178,Red,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
179,Red,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
180,Red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
181,Red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
182,Red,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
183,Red,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
184,Red,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
185,Red,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
186,Red,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
187,Red,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
188,Red,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
189,Red,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
190,Red,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
191,Red,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5
192,Red,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
193,Red,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
194,Red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
195,Red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
196,Red,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
197,Red,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
198,Red,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
199,Red,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
200,Red,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
201,Red,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
202,Red,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5
203,Red,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5
204,Red,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5
205,Red,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
206,Red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
207,Red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
208,Red,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
209,Red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
210,Red,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
211,Red,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
212,Red,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
213,Red,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
214,Red,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5
215,Red,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
216,Red,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
217,Red,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
218,Red,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5
219,Red,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
220,Red,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
221,Red,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
222,Red,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
223,Red,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
224,Red,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
225,Red,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4
226,Red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
227,Red,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
228,Red,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
229,Red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
230,Red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
231,Red,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
232,Red,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
233,Red,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
234,Red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
235,Red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
236,Red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
237,Red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
238,Red,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
239,Red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
240,Red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
241,Red,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
242,Red,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
243,Red,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
244,Red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
245,Red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
246,Red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
247,Red,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
248,Red,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
249,Red,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
250,Red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
251,Red,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
252,Red,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
253,Red,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5
254,Red,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
255,Red,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
256,Red,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
257,Red,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5
258,Red,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
259,Red,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
260,Red,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
261,Red,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
262,Red,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
263,Red,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
264,Red,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
265,Red,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
266,Red,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
267,Red,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4
268,Red,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
269,Red,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
270,Red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
271,Red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
272,Red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
273,Red,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
274,Red,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
275,Red,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5
276,Red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
277,Red,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
278,Red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
279,Red,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
280,Red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
281,Red,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
282,Red,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
283,Red,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
284,Red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
285,Red,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
286,Red,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
287,Red,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
288,Red,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
289,Red,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
290,Red,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
291,Red,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
292,Red,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
293,Red,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
294,Red,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
